id,normal_1,normal_2,day3_1,day3_2,day3_3,day7_1,day7_2,day7_3,day14_1,day14_2
ENSMUSG00000079037,304.808,273.426,445.842,429.499,418.895,370.493,509.144,451.706,625.65,546.873
ENSMUSG00000020053,191.759,132.028,183.763,192.582,201.526,146.977,203.534,179.206,203.564,217.6
ENSMUSG00000017390,6958.17,6063.15,3990.75,3876.8,3754.02,3868.75,4301.18,2997.24,2600.76,2070.02
ENSMUSG00000005469,912.822,819.856,1101.84,1154.45,1037.2,935.817,1163.96,1000.17,1016.74,946.934
ENSMUSG00000025190,9087.62,8113.01,5467.9,6093.23,5671.59,4848.13,5409.53,4308,3325.39,2587.99
ENSMUSG00000031672,16070.6,14012.1,7458.37,8985.92,7946.76,6152.83,6359.07,5301.46,3625.28,3120.26
ENSMUSG00000023004,21126.1,18741.6,26762.3,33102.7,28705.7,20175.3,22726.5,21916.8,22095.5,21195.2
ENSMUSG00000067338,1245.61,1177.13,1786.05,2289.67,1905.95,1679.98,1869.96,1794.8,2020.71,1853.93
ENSMUSG00000067702,1245.61,1177.13,1786.05,2289.67,1905.95,1679.98,1869.96,1794.8,2020.71,1853.93
ENSMUSG00000074115,4.89508,18.9463,571.396,433.62,694.91,499.873,93.2353,163.736,83.8645,546.63
ENSMUSG00000027646,1203.62,1096.49,1422.57,1681.76,1523.11,1375.3,1645.06,1599.78,1559.79,1483.94
ENSMUSG00000005672,362.367,350.714,328.157,348.169,346.962,331.284,364.122,331.487,350.268,318.319
ENSMUSG00000023043,2736.81,3366.42,10405.3,11835,8535.14,9825.55,14421.1,13038.4,10257.9,9189.14
ENSMUSG00000061816,541.274,605.13,883.161,998.448,953.542,884.64,1030.75,821.636,870.416,840.065
ENSMUSG00000063229,14410.4,12243.5,11948,15088.4,11994,9543.16,11288.8,9892.58,10008.3,8730.27
ENSMUSG00000070645,2488.56,3042.17,2434.24,2820.97,2483.66,4061.64,4843.76,6133.92,10295.6,6341.4
ENSMUSG00000022149,1138.22,1420.89,2970.28,2429.05,4101.02,1830.27,2233.39,2099.88,5144.04,3897.97
ENSMUSG00000026874,1334.39,2036.9,7397.3,6412.09,11622.1,3617.01,4925.92,4830.66,11195.5,6620.55
ENSMUSG00000032080,1710.58,2310.5,3707.73,2865.48,4552.37,2622.85,2899.85,3234.7,6779.23,4796.33
ENSMUSG00000036427,9946.39,8544.15,7478.28,8233.67,7433.01,6487.43,7622.51,6433.89,5991.96,4879.93
ENSMUSG00000028970,1708.68,1931.03,1485.16,1767.68,1802.87,1292.78,1311.6,1236.7,1264.8,941.398
ENSMUSG00000021477,1211.69,1117.01,3772.55,3359.91,4196.06,2479.61,3236.16,3373.75,4197.21,4838.93
ENSMUSG00000026395,879.595,733.777,4261.56,4419.32,3716.2,4494.67,5444.37,5721.61,7541.34,8345.56
ENSMUSG00000032418,18944.7,15680.4,8445.77,9050.6,8793.46,6435.57,6267.81,5154.14,3068.99,2554.83
ENSMUSG00000037370,1090.22,1006.3,1272.94,1466.73,1391.42,1404.15,1966.43,1805.54,2676.57,3093.49
ENSMUSG00000021822,819.806,718.396,1840.85,2263,2292.2,1621.74,2048.96,1973.79,1941.25,1723.21
ENSMUSG00000026365,2762.61,2912.89,10276.5,9789.38,15160,7166.46,8737.39,9382.83,16236,17460.5
ENSMUSG00000001020,118.072,82.5664,274.807,202.664,233.686,198.096,251.151,204.599,296.466,260.611
