id,normal_1,normal_2,day1_1,day1_2,day2_1,day2_2,day7_1,day7_2,day14_1,day14_2
ENSMUSG00000055912,147.905,181.524,116.652,109.788,44.8931,86.7927,43.7601,85.5121,25.5047,66.8046
ENSMUSG00000041052,277.356,204.625,116.866,77.0275,48.7648,57.1418,17.8376,42.0724,32.9805,85.0656
ENSMUSG00000039783,7224.13,10005.4,6206.78,6240.12,3337.25,5203.85,1741.51,3261,1335.34,3166.83
ENSMUSG00000028979,45.6834,25.6069,47.0749,39.2265,61.4417,85.2331,31.7525,39.9928,15.6133,25.4126
ENSMUSG00000028811,7624.17,10541.4,7939.74,8649.77,9110.38,11032.9,5226.41,9560.27,3279,5186.46
ENSMUSG00000038697,99.8968,119.007,107.539,101.423,93.9172,122.258,97.3857,169.393,60.9604,74.9517
ENSMUSG00000032246,1409.47,3070.33,1516.31,1035.92,722.052,1235.44,537.917,1056.57,419.456,928.146
ENSMUSG00000020412,432.391,587.269,528.452,563.54,635.169,822.206,395.603,834.24,247.494,371.582
ENSMUSG00000021207,9145.78,11863.9,6471.07,6858.33,3688.18,5059.13,2506.75,3945.27,2843.87,4731.23
ENSMUSG00000037710,6466.13,9141.81,5062.61,5766.87,3630.26,4726.89,1822.48,3691.58,1615.6,3264.95
ENSMUSG00000042118,1501.2,2012.41,734.901,877.637,248.575,427.464,187.662,327.58,236.592,589.926
ENSMUSG00000027173,536.639,794.142,476.706,418.033,517.34,628.309,256.014,500.06,175.28,377.795
ENSMUSG00000034278,584.793,782.455,464.554,436.296,377.925,461.86,210.062,331.583,207.67,336.18
ENSMUSG00000070780,2959.62,3737.18,2106.71,2248.62,2486.23,3257.25,1381.27,3074.84,1040.16,1849.39
ENSMUSG00000024039,5888.53,6815.71,4331.93,4295.46,2275.65,3028.86,1470.9,2866.29,1437.89,2393.64
ENSMUSG00000067144,878.755,1574.38,609.869,548.336,537.812,481.78,107.496,258.747,121.886,267.273
ENSMUSG00000003559,5820.91,7957.24,5130.7,5005.57,4153.55,6420.7,3111.78,6157.12,2403.31,3894.28
ENSMUSG00000029265,235.437,413.807,320.911,223.064,252.515,344.379,220.497,383.055,109.789,223.498
ENSMUSG00000024131,18274.3,22191.7,7251.54,8091.33,3751.36,5329.11,2433.62,4713.16,2449.97,5600.1
ENSMUSG00000057531,137.302,216.127,151.073,134.095,161.413,199.845,125.125,209.93,65.448,121.994
ENSMUSG00000026602,1151.8,1304.45,1194.09,1017.58,841.252,1157.25,711.403,1394.44,438.924,826.54
ENSMUSG00000030963,2826.18,2971.15,2927.47,3493.86,3025.04,3869.94,6011.19,12699.4,6591.3,7205.12
ENSMUSG00000031575,1106.15,1308.03,965.933,985.316,1217.74,1572.43,998.551,1824.33,613.078,920.462
ENSMUSG00000044496,176.55,235.456,175.238,166.733,210.611,281.947,154.117,294.741,91.145,151.996
ENSMUSG00000028082,1119.71,1698.49,1617.05,1528.9,1665.21,1902.83,1102.1,2196.19,715.679,1275.28
ENSMUSG00000032513,624.472,810.418,560.278,556.912,522.678,624.425,329.688,675.719,246.929,397.995
ENSMUSG00000039450,4481.09,6343.85,3210.62,3395.56,2011.24,2756.18,996.477,2104.1,951.161,2173.33
ENSMUSG00000026197,258.687,425.332,255.997,259.336,210.163,285.201,147.672,363.151,125.062,212.65
ENSMUSG00000030895,4314.03,3252.21,13567.8,9553.5,20074.9,23925.6,6542.11,7370.37,1704.45,3316.73
ENSMUSG00000025198,693.487,1038.03,653.392,666.958,559.399,898.133,339.492,683.3,233.922,437.01
ENSMUSG00000030527,215.409,67.4473,195.608,140.01,163.216,294.702,357.811,565.835,193.866,52.1337
ENSMUSG00000034258,223.913,190.481,184.685,172.3,110.107,170.06,57.0177,129.258,62.962,83.1188
ENSMUSG00000028700,206.748,265.556,170.553,182.303,224.394,231.331,125.322,226.991,105.944,175.068
ENSMUSG00000030674,1945.03,2541.43,1640.66,1778.77,1477.92,2139.65,946.112,1856.91,641.306,1106.38
ENSMUSG00000042229,376.805,508.363,389.647,395.767,410.339,505.238,402.244,699.919,264.109,272.777
ENSMUSG00000051359,904.107,2204.18,1109.7,640.964,782.106,1143.79,581.17,1309.23,371.481,762.246
ENSMUSG00000021556,1402.06,1651.9,1409.65,1482.06,2490.59,2786.87,1238.4,2618.24,802.67,1094.67
ENSMUSG00000062778,479.635,910.309,196.587,196.458,218.574,198.397,302.46,447.879,142.617,377.278
