mirna,A178_day3,A180_day7,A181_day7,A189_day14,A196_normal,A200_normal,A201_normal,A74_day3,A75_day3,A80_day7,A84_day14,A85_day14
mmu-let-7a-1-3p,9.23455779749081,9.12843386166942,9.09907758605275,9.00328261382695,9.22887757705605,9.22806321620544,9.37876320354332,9.32104598099096,9.36470918502124,9.06104329760177,9.18473808922497,9.30434602960714
mmu-let-7a-2-3p,-0.445444487011701,-0.448889157632588,-0.328558507280537,-0.280523186478081,-0.442128129140607,-0.445951042677471,-0.440630115255008,-0.446292424791555,-0.315374263475312,-0.343732883965363,-0.445979949891489,-0.439098855472396
mmu-let-7a-5p,15.0420255922183,14.8418016059358,14.9760677539901,15.0362158777808,15.046869443838,14.8245937696427,14.8605448428765,14.9543611637361,14.949733974428,14.8794955133553,14.848167280988,14.8559015137702
mmu-let-7b-3p,9.08524474742584,9.02482546689209,8.88005501549636,8.87381840941623,9.20862434084987,9.36910742117936,9.10149235981417,9.088295500285,9.10044461113444,8.9801800326603,9.1347729376786,9.08556261806375
mmu-let-7b-5p,13.5521694443988,13.3659069591984,13.4962097479988,13.6329225253948,13.4789479254941,13.3096204595595,13.3771799387084,13.4244680474078,13.3717545689168,13.3397174665326,13.3226247383642,13.3673360532238
mmu-let-7c-1-3p,3.17082554367899,3.22690985265338,3.20601772955434,3.15386257622153,3.22529725467243,3.12151056024527,3.30796380532455,3.24116597279791,3.25438026971053,2.99058096137366,3.54267461456702,3.30535628387865
mmu-let-7c-2-3p,9.23455779749081,9.12843386166942,9.09907758605275,9.00328261382695,9.22887757705605,9.22806321620544,9.37876320354332,9.32104598099096,9.36470918502124,9.06104329760177,9.18473808922497,9.30434602960714
mmu-let-7c-5p,15.4667027366516,15.2612272642244,15.4194484662753,15.5567329896696,15.3143567774848,15.1103097243615,15.0901776914804,15.3457128951358,15.2742400347104,15.2374390074427,15.196183725209,15.1990740823246
mmu-let-7d-3p,11.4522049545701,11.3578446668806,11.3440515184107,11.2361543768615,11.4147142180113,11.1741463170675,11.1440603384759,11.5561298894101,11.3288544204058,11.272084927159,11.2721630850013,11.1751356632253
mmu-let-7d-5p,12.7943237838159,12.6796653575759,12.7251631100859,12.7310111066611,12.8599650951692,12.700446602841,12.7547429623666,12.6229894825631,12.6414562799447,12.6144086113822,12.5540980990576,12.5074615551047
mmu-let-7e-3p,6.44104451793801,6.42572967261258,6.34749100936394,6.40221010170638,6.37093692145634,6.40374993585423,6.36720315914899,6.52605494185489,6.60792237201097,6.50230719789663,6.51498814729784,6.24460492776949
mmu-let-7e-5p,11.7995952555096,11.8062790525572,11.7877256849418,11.9493897026717,11.4155492729466,11.3233476634902,11.3656577841857,11.7637842711563,11.7634260609689,11.8572907466744,11.6653822548958,11.6589139527563
mmu-let-7f-1-3p,7.00774188207924,6.72119737927678,6.74276150079593,6.69617130578921,6.99810109365895,7.05114202372646,6.9400356353672,7.06258062720552,6.7675364799807,6.85433560380054,6.70182260919002,6.78199207278864
mmu-let-7f-2-3p,7.74859874617853,7.74122481264294,7.72432086932237,7.74625948272446,7.89120649222303,7.81750734822893,7.76015371707944,7.86112272272676,7.7537061076496,7.64447751120705,7.83449536460792,7.79590169985532
mmu-let-7f-5p,16.6183235805737,16.5657331800639,16.4975361673878,16.5161526637476,16.6986827503823,16.4593242475801,16.5438906860448,16.5205616008069,16.5489347899068,16.5059738763862,16.5466564905434,16.4708158891648
mmu-let-7g-3p,5.59882355023864,5.65026582073362,5.51661294660871,5.54172221550137,5.7765346789366,5.75246004380784,5.62014559222707,5.72867326455749,5.50345901465412,5.44656874743275,5.44274944595562,5.73879377829626
mmu-let-7g-5p,14.536006399514,14.3255103101512,14.4248017908749,14.3606627928157,14.6981964829885,14.5023271211039,14.6051766072671,14.447307054955,14.4493506884131,14.3128907611336,14.3410810334497,14.3992641118879
mmu-let-7i-3p,6.55562576274256,6.62700924083422,6.43848444759088,6.66120395529352,5.98633900249013,6.05338366744894,5.96637564081976,6.53861002510464,6.3566135164885,6.72295757341164,6.44897454214151,6.18666078977311
mmu-let-7i-5p,15.0579995384943,15.0309472229758,15.0428392587865,15.1668746256745,14.087546064942,13.9661311347724,13.9402087544439,15.0398984594965,15.1120338341153,15.1503198454015,14.7456709126422,14.61845188587
