mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-let-7a-1-3p,10.4902578711605,10.3940648235523,10.2118634155269,10.323493822351,10.7337983022058,10.7317541608743,10.846085115441,10.7898969279012,10.5421882671205,10.4083544543863,10.4045156302669,10.1614485873362,10.7451557028546,10.8175271389077,11.0063248378561
mmu-let-7a-2-3p,1.62035783282165,1.87412914242067,1.72394442676474,1.43503568610597,1.63373135554906,1.04336016687653,1.04916894485829,1.25228677784954,1.04448486830476,1.36368244135437,1.23458241257098,1.27299934565016,1.51250380602578,1.09429752923514,1.4123516794723
mmu-let-7a-5p,16.8897650043794,16.9262024712154,17.0650755474607,17.1110086602722,16.6123480976449,16.8928976978004,16.9232962336618,16.9353134162713,16.8185533623589,17.1143975028904,16.863566842833,16.7574342339664,16.8900903984852,17.0573723561022,16.8370010233327
mmu-let-7b-3p,11.0972202821102,11.2217944229099,11.070611019676,11.0548894615679,10.9420572870321,11.1711947599307,10.9784115954675,11.049961880796,11.314685667631,11.2039690316902,11.1651384746676,11.2802395147842,11.2337188434008,11.2915051585722,11.2541102699016
mmu-let-7b-5p,15.4804980087954,15.5092992365047,15.5427807863812,15.7837600507628,15.1750043675432,15.2275259212763,15.3991953739453,15.5020815447267,15.3417332726696,15.4030618766223,15.3170164335577,15.1497333164233,15.5487410455127,15.5274477541387,15.4360216788345
mmu-let-7c-1-3p,5.02878527657548,5.23762212052672,5.24585186515377,5.29128951178292,5.50495692028034,5.1042102512991,5.37883498957838,5.48924157036351,5.48654179229196,5.02601639538394,5.25082671673246,5.36007592534686,5.03370172210199,5.56039137419544,4.70682423588174
mmu-let-7c-2-3p,10.4902578711605,10.3940648235523,10.2118634155269,10.323493822351,10.7337983022058,10.7317541608743,10.846085115441,10.7898969279012,10.5421882671205,10.4083544543863,10.4045156302669,10.1614485873362,10.7451557028546,10.8175271389077,11.0063248378561
mmu-let-7c-5p,17.2717735718725,17.3131745576084,17.4365227293475,17.573819741292,16.8406321565327,17.0319711323307,17.1786900786499,17.2100668592342,17.0211365083475,17.2155023400441,17.0903714047084,16.9402491568555,17.1719807511819,17.2080923533149,17.0577879499311
mmu-let-7d-3p,13.0455398700813,13.0484659418944,13.0011693059694,13.1923277165074,12.9270069535103,13.0472159869935,12.9492618127235,13.0838834775402,13.2822111459264,13.1877906073842,13.1803114568736,13.1793205377148,13.1807625845841,13.3201879070859,13.0381294846126
mmu-let-7d-5p,14.6492047926431,14.7193285738128,14.6993628297627,14.8922055759811,14.6366975800294,14.7780582189857,14.7855875804718,14.8377855041849,14.7812927435186,14.9236840277283,14.7763744444998,14.6174016400669,14.7624036887966,15.0172225607694,14.7963623085207
mmu-let-7e-3p,8.5029915871424,8.40874134622469,8.44734171330724,8.52056242916639,8.27345956284135,8.22543565806573,8.16661701548814,8.20417079770797,8.29703589352142,8.47442346826808,8.40947392243935,8.46562847198659,8.13817356909096,7.9641383326189,7.95193475455396
mmu-let-7e-5p,14.3673669364765,14.2981732402716,14.4769549476283,14.4911695627786,13.8119068979777,14.0067883892593,14.0523611794487,14.0306842280078,13.907092215302,14.3280923473084,14.2539024064717,14.213247775387,13.4963405706581,13.5789329982139,13.5298830485502
mmu-let-7f-1-3p,8.62794840751757,8.35850789106147,8.38696072316383,8.38609229458568,8.8539087875404,8.9667120788422,8.90861285604682,8.87449568953195,8.95147801053627,8.78233870519063,8.6705949425979,8.64308729451982,9.01035813235053,9.02117905888064,8.98629685719659
mmu-let-7f-2-3p,8.46613305474967,8.28783030935311,8.21448702325981,8.2796400119178,8.86868434845665,8.6508781546756,8.97602052663497,8.5975267269858,8.41131052484768,8.21625903038541,8.39958329737919,8.39390921358234,8.678341711404,8.65612488741955,9.07284929516258
mmu-let-7f-5p,18.298766973986,18.247724662235,18.3614007288093,18.2818256074651,18.1127530753318,18.2377640597226,18.1294423346337,18.1898213668364,18.1740147755803,18.3806391832711,18.3369576658247,18.438301477698,18.1395801321899,18.3040445183577,18.1960182399749
