mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-miR-378d,9,7,10,17,20,32,37,21,20,18,20,17,22,26,13
mmu-miR-379-3p,9,9,12,14,8,8,8,20,9,5,12,5,0,0,4
mmu-miR-379-5p,14,30,38,14,6,18,33,40,23,11,16,16,2,15,10
mmu-miR-380-3p,16,10,21,9,12,17,16,27,9,3,8,5,5,3,3
mmu-miR-381-3p,72,242,342,79,121,119,126,214,89,48,84,109,25,52,43
mmu-miR-382-3p,4,5,5,6,4,5,4,4,6,0,0,4,0,0,0
mmu-miR-382-5p,10,24,41,4,6,9,20,22,7,5,13,4,0,2,7
mmu-miR-383-5p,5,0,0,7,5,6,9,7,4,3,2,10,2,9,9
mmu-miR-384-3p,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0
mmu-miR-384-5p,0,0,6,0,0,0,0,0,3,0,3,0,0,0,0
mmu-miR-3960,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
mmu-miR-3963,65,31,68,102,87,82,84,86,82,35,85,82,17,52,35
mmu-miR-3966,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
mmu-miR-3968,1654,1041,1549,1159,3070,3015,2685,3023,2731,953,2311,2187,638,1422,936
mmu-miR-3969,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-3970,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
mmu-miR-409-3p,58,134,191,55,95,113,132,219,68,29,80,76,8,27,17
mmu-miR-409-5p,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-410-3p,138,347,501,150,162,162,201,285,141,64,151,129,38,65,61
mmu-miR-411-3p,12,26,37,10,17,25,15,19,10,2,15,12,2,6,6
mmu-miR-411-5p,899,2037,3423,942,1001,1112,1098,1586,847,516,1166,1043,192,355,403
mmu-miR-421-3p,1771,1387,1838,1150,2534,2881,1440,1694,3216,1865,2990,2899,870,1904,1405
mmu-miR-421-5p,7,0,0,3,8,12,8,7,5,0,0,0,0,5,6
